Source,Sch Dep Date,Aa code,Flt no,Sch dep dt with time,Sch arr dt with time,Sch dep port,Sch arr port,Route,Ac type,Number of fleets,Ac name,Oper type,Reporting group name,Capacity,Loc total fare amount,Loc tax amount,Loc service fee amount,Loc penalty amount,Loc commission amount,Loc surcharge amount,Loc discount amount,Loc xb amount,Loc wb amount,Loc ntbl amount,Loc seat amount,Loc catering amount,Loc pax fare amount,Loc ssr fare amount,Loc other ssr fare amount,Bagg excess count,Weight bagg count,Ntbl count,Seat count,Catering count,Seg authorization,Agency ss,Internet ss,Bsp gds ss,Pax adult count,Pax child count,Pax infant count,Noshow count,Vat divisor,Pad pass count,Rep total fare amount,Rep pax fare amount,Rep tax amount,Rep surcharge amount,Rep service fee amount,Rep penalty amount,Rep commission amount,Rep discount amount,Rep xb amount,Rep wb amount,Rep ntbl amount,Rep seat amount,Rep catering amount,Flt status,Rcat
PAX,6/4/2021,PK,331,6/4/2021 15:15,6/4/2021 16:35,MUX,KHI,MUXKHI,A320-214_8P/161Y,1,AP-BLA,International,Other,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CX,EST
PAX,7/4/2021,PK,308,7/4/2021 16:00,7/4/2021 17:55,KHI,ISB,KHIISB,A320-214_8P/161Y,3,AP-BLW,Domestic,Primary,169,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSP,9/4/2021,PK,9241,9/4/2021 23:15,10/4/2021 0:20,KHI,DMM,KHIDMM,A320-214_8P/161Y,4,AP-BLV,International,International,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CX,EXP
PAX,9/4/2021,PK,613,9/4/2021 15:10,9/4/2021 16:00,SDT,ISB,SDTISB,ATR42-500_48Y,5,AP-BHH,Domestic,Scheduled Domestic,48,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAX,8/4/2021,PK,351,8/4/2021 11:30,8/4/2021 13:20,PEW,KHI,PEWKHI,A320-200_8P/162Y,6,AP-BMX,Domestic,Primary,170,665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAX,2/4/2021,PK,309,2/4/2021 19:00,2/4/2021 20:55,ISB,KHI,ISBKHI,A320-214_8P/161Y,3,AP-BLW,Domestic,Primary,169,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAX,2/4/2021,PK,608,2/4/2021 12:55,2/4/2021 14:00,GIL,ISB,GILISB,ATR42-500_48Y,5,AP-BHH,Domestic,Scheduled Domestic,48,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSP,2/4/2021,PK,5715,2/4/2021 6:50,2/4/2021 11:05,LHE,IST,LHEIST,B777-240ER_35P/294Y,2,AP-BGK,International,International,329,245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAX,10/4/2021,PK,370,10/4/2021 22:00,10/4/2021 23:55,KHI,ISB,KHIISB,A320-214_8P/161Y,1,AP-BLA,Domestic,Primary,169,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAX,7/4/2021,TK,715,7/4/2021 6:50,7/4/2021 11:05,LHE,IST,LHEIST,-,-,-,International,-,0,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSP,10/4/2021,PK,181,10/4/2021 0:45,10/4/2021 3:00,ISB,SHJ,ISBSHJ,A320-216_8P/160Y,7,AP-BLY,International,Gulf,168,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAX,4/4/2021,PK,769,4/4/2021 8:25,4/4/2021 13:45,SKT,BCN,SKTBCN,B777-240ER_35P/294Y,8,AP-BGL,International,Other,329,0,0,0,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSP,5/4/2021,PK,330,5/4/2021 15:00,5/4/2021 16:50,KHI,MUX,KHIMUX,ATR42-500_48Y,9,AP-BHM,Domestic,Other,48,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSP,14-04-2021,PK,203,14-04-2021 00:30:00,14-04-2021 02:55:00,LHE,DXB,LHEDXB,A320-216_8P/160Y,7,AP-BLY,International,Gulf,168,468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAX,2/4/2021,PK,350,2/4/2021 18:00,2/4/2021 19:50,KHI,PEW,KHIPEW,A320-214_8P/161Y,10,AP-BLU,Domestic,Primary,169,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAX,5/4/2021,PK,631,5/4/2021 17:40,5/4/2021 20:00,ISB,SKZ,ISBSKZ,ATR42-500_48Y,5,AP-BHH,Domestic,ATR-Domestic,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,3,0,0,2,1,2,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,FF,ACT
BSP,11/4/2021,TK,714,11/4/2021 20:15,12/4/2021 3:35,IST,LHE,ISTLHE,-,-,-,International,-,0,297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAX,1/4/2021,PK,308,1/4/2021 16:00,1/4/2021 17:55,KHI,ISB,KHIISB,A320-214_8P/161Y,4,AP-BLV,International,Primary,169,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSP,3/4/2021,PK,370,3/4/2021 22:00,3/4/2021 23:55,KHI,ISB,KHIISB,A320-216_8P/160Y,11,AP-BLZ,International,Primary,168,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAX,7/4/2021,TK,709,7/4/2021 7:15,7/4/2021 11:00,KHI,IST,KHIIST,-,-,-,International,-,0,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSP,11/4/2021,PK,9754,11/4/2021 7:10,11/4/2021 12:55,RUH,ISB,RUHISB,B777-300ER_58P/384Y,12,AP-BMS,International,KSA,442,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAX,13-04-2021,PK,363,13-04-2021 17:40:00,13-04-2021 19:00:00,ISB,UET,ISBUET,A320-214_8P/161Y,3,AP-BLW,Domestic,Other,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,3,0,0,3,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,FF,ACT
PAX,7/4/2021,PK,6603,7/4/2021 9:30,7/4/2021 10:45,ISB,GIL,ISBGIL,ATR42-500_48Y,13,AP-BHI,Domestic,Scheduled Domestic,48,359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSP,15-04-2021,PK,607,15-04-2021 11:10:00,15-04-2021 12:25:00,ISB,GIL,ISBGIL,ATR42-500_48Y,13,AP-BHI,Domestic,ATR-Domestic,48,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAX,5/4/2021,PK,284,5/4/2021 5:10,5/4/2021 8:50,DXB,PEW,DXBPEW,A320-214_8P/161Y,4,AP-BLV,International,International,169,855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSP,2/4/2021,PK,235,2/4/2021 9:35,2/4/2021 12:00,LHE,DXB,LHEDXB,A320-200_8P/162Y,6,AP-BMX,International,International,170,720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAX,6/4/2021,PK,370,6/4/2021 22:00,6/4/2021 23:55,KHI,ISB,KHIISB,A320-216_8P/160Y,7,AP-BLY,International,Primary,168,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAX,6/4/2021,PK,363,6/4/2021 18:25,6/4/2021 19:45,ISB,UET,ISBUET,A320-214_8P/161Y,3,AP-BLW,Domestic,Other,169,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSP,13-04-2021,PK,351,13-04-2021 10:00:00,13-04-2021 11:50:00,PEW,KHI,PEWKHI,A320-216_8P/160Y,7,AP-BLY,Domestic,Primary,168,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAX,1/4/2021,PK,368,1/4/2021 13:00,1/4/2021 14:55,KHI,ISB,KHIISB,A320-216_8P/160Y,11,AP-BLZ,International,Primary,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FF,EST
PAX,6/4/2021,WS,652,6/4/2021 0:05,6/4/2021 5:51,YYC,YYZ,YYCYYZ,-,-,-,International,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,EST
PAX,3/4/2021,PK,369,3/4/2021 16:30,3/4/2021 18:25,ISB,KHI,ISBKHI,A320-216_8P/160Y,7,AP-BLY,Domestic,Primary,168,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAX,2/4/2021,PK,798,2/4/2021 19:30,3/4/2021 17:40,YYZ,LHE,YYZLHE,B777-240LR_35P/275Y,14,AP-BGY,International,Scheduled Canada,310,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAX,10/4/2021,PK,300,10/4/2021 7:00,10/4/2021 8:55,KHI,ISB,KHIISB,A320-214_8P/161Y,10,AP-BLU,Domestic,Primary,169,955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAX,5/4/2021,PK,9246,5/4/2021 23:55,6/4/2021 5:10,DMM,ISB,DMMISB,B777-200ER_25P/282Y,15,AP-BMH,International,KSA,307,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSP,7/4/2021,PK,305,7/4/2021 19:00,7/4/2021 20:45,LHE,KHI,LHEKHI,A320-214_8P/161Y,10,AP-BLU,International,Primary,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FF,EXP
BSP,8/4/2021,PK,9753,8/4/2021 3:20,8/4/2021 5:40,ISB,RUH,ISBRUH,B777-240ER A35P/294Y,16,AP-BHX,International,KSA,329,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAX,13-04-2021,PK,285,13-04-2021 23:45:00,14-04-2021 01:35:00,PEW,DOH,PEWDOH,A320-214_8P/161Y,17,AP-BLS,International,International,169,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSP,8/4/2021,PK,369,8/4/2021 16:00,8/4/2021 17:55,ISB,KHI,ISBKHI,B777-240ER A35P/294Y,16,AP-BHX,Domestic,Primary,329,245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAX,7/4/2021,PK,283,7/4/2021 9:50,7/4/2021 12:00,PEW,DXB,PEWDXB,A320-214_8P/161Y,1,AP-BLA,International,International,169,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSP,3/4/2021,PK,452,3/4/2021 11:20,3/4/2021 12:20,KDU,ISB,KDUISB,A320-214_8P/161Y,1,AP-BLA,Domestic,Secondary,169,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSP,14-04-2021,PK,181,14-04-2021 19:00:00,14-04-2021 21:30:00,ISB,SHJ,ISBSHJ,A320-214_8P/161Y,17,AP-BLS,International,International,169,546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAX,13-04-2021,PK,194,13-04-2021 12:30:00,13-04-2021 15:30:00,SHJ,TUK,SHJTUK,ATR42-500_48Y,9,AP-BHM,International,Gulf,48,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAX,11/4/2021,PK,605,11/4/2021 8:00,11/4/2021 9:10,ISB,GIL,ISBGIL,ATR42-500_48Y,5,AP-BHH,Domestic,ATR-Domestic,48,-57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSP,5/4/2021,TK,710,5/4/2021 20:20,6/4/2021 3:25,IST,ISB,ISTISB,-,-,-,International,-,0,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAX,10/4/2021,PK,370,10/4/2021 22:00,10/4/2021 23:55,KHI,ISB,KHIISB,A320-214_8P/161Y,1,AP-BLA,Domestic,Primary,169,832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAX,2/4/2021,PK,797,2/4/2021 7:30,2/4/2021 8:20,LHE,ISB,LHEISB,B777-240LR_35P/275Y,14,AP-BGY,International,Scheduled Canada,310,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAX,6/4/2021,PK,258,6/4/2021 11:45,6/4/2021 15:40,SHJ,PEW,SHJPEW,A320-214_8P/161Y,1,AP-BLA,International,International,169,-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAX,10/4/2021,PK,368,10/4/2021 13:00,10/4/2021 14:55,KHI,ISB,KHIISB,A320-214_8P/161Y,10,AP-BLU,Domestic,Primary,169,906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
